Page                     Page Rank                No. of Outlinks          No. of Inlinks           
WT22-B14-364             0.0003516418375497494    13                       189                      
WT16-B01-282             0.0003486853976094931    12                       58                       
WT18-B14-71              0.00034787265172880205   89                       100                      
WT13-B16-450             0.00034617938882814466   11                       291                      
WT25-B23-127             0.00034601249040186314   328                      169                      
WT09-B39-178             0.00034563511270300275   7                        77                       
WT12-B17-278             0.00034506981352137503   23                       78                       
WT13-B30-412             0.0003447564367085566    74                       75                       
WT21-B40-447             0.0003426363594194896    15                       779                      
WT23-B30-88              0.0003392176811789172    10                       477                      
WT04-B29-48              0.0003378052628674116    68                       68                       
WT13-B30-408             0.00033621370114871616   51                       114                      
WT18-B31-187             0.00033410067793350874   19                       159                      
WT08-B24-317             0.0003317683146629402    1                        2                        
WT07-B14-24              0.0003293480840148977    70                       70                       
WT11-B13-4               0.0003272023297817018    1                        40                       
WT12-B40-248             0.00032716564470695143   3                        357                      
WT24-B33-59              0.00032589022089509964   56                       53                       
WT13-B25-82              0.0003240775732494879    137                      146                      
WT18-B14-62              0.0003231773158811241    57                       76                       
WT06-B39-355             0.00032243013931441375   7                        178                      
WT13-B16-460             0.00032014097889003853   10                       199                      
WT18-B14-68              0.0003185250853545831    74                       81                       
WT26-B25-680             0.00031751074723603776   2                        81                       
WT15-B01-16              0.00031744366390519876   1                        37                       
WT25-B31-56              0.000317317062332689     73                       72                       
WT26-B22-336             0.00031722928893723783   9                        164                      
WT23-B18-180             0.00031711111586224647   44                       74                       
WT26-B25-679             0.00031583251407565205   2                        80                       
WT04-B33-221             0.0003155649523999662    17                       81                       
WT04-B38-204             0.00031531599903683664   11                       281                      
WT25-B19-180             0.00031394054638719804   8                        8                        
WT17-B29-66              0.00031150013154650295   5                        175                      
WT17-B29-69              0.00031150013154650295   5                        175                      
WT17-B29-70              0.00031150013154650295   5                        175                      
WT27-B19-302             0.00031132347081989833   9                        213                      
WT17-B29-67              0.0003110706181119485    7                        172                      
WT17-B29-68              0.0003105142866123613    5                        172                      
WT09-B28-263             0.0003097964295685415    0                        258                      
WT24-B11-329             0.0003094007670239608    52                       53                       
WT07-B14-20              0.0003015836953093069    64                       64                       
WT05-B09-121             0.0003011875697659729    1                        34                       
WT01-B11-115             0.00030115813652444945   10                       73                       
WT08-B02-134             0.00030094517369489457   75                       74                       
WT04-B30-256             0.0002968222650361326    9                        301                      
WT18-B18-148             0.00029488096637148736   11                       165                      
WT13-B30-405             0.0002940264034962376    20                       186                      
WT07-B14-25              0.00029232889907411064   62                       62                       
WT18-B40-82              0.00029108974730365506   0                        576                      
WT12-B40-235             0.00029067703291885355   12                       355                      
WT13-B16-451             0.00029059448401436383   3                        291                      
WT02-B03-141             0.0002863386187202504    53                       54                       
WT08-B24-320             0.00028479076884694286   0                        2                        
WT10-B14-65              0.0002838506209120697    2                        87                       
WT27-B25-363             0.000282734891972712     1                        37                       
WT15-B34-52              0.0002825077610864799    14                       264                      
WT27-B28-200             0.0002823037638413422    1                        4                        
WT04-B38-159             0.00028134132968435604   36                       254                      
WT18-B38-25              0.0002805159025397678    1                        155                      
WT24-B26-381             0.00027902978399916146   10                       4                        
WT15-B34-57              0.0002774796141625871    6                        264                      
WT19-B34-131             0.0002768230008883043    2                        134                      
WT12-B33-212             0.00027534062660651126   0                        209                      
WT15-B34-56              0.0002740369515364741    4                        264                      
WT01-B01-33              0.00027397450924178087   11                       122                      
WT25-B29-410             0.0002735111343646041    2                        113                      
WT27-B28-171             0.0002733667720510827    26                       3                        
WT24-B02-93              0.0002721005291594102    77                       76                       
WT23-B27-41              0.000271960702347204     1                        193                      
WT15-B34-58              0.0002711439962152938    4                        263                      
WT13-B34-124             0.00026858690824561985   4                        93                       
WT16-B27-21              0.0002678086844442085    56                       58                       
WT07-B11-415             0.00026612412208360984   55                       55                       
WT02-B16-121             0.00026585365181970734   2                        107                      
WT02-B16-122             0.00026585365181970734   3                        107                      
WT24-B26-382             0.0002655469937949254    5                        3                        
WT10-B39-186             0.0002651907530539171    9                        97                       
WT02-B29-123             0.00026160539352888465   10                       184                      
WT02-B29-124             0.00026160539352888465   5                        184                      
WT02-B29-125             0.00026160539352888465   3                        184                      
WT12-B17-36              0.00026089873163400026   0                        213                      
WT02-B28-19              0.0002600082811280117    10                       183                      
WT02-B28-20              0.0002600082811280117    5                        183                      
WT02-B28-21              0.0002600082811280117    3                        183                      
WT13-B14-26              0.00025968886359859693   10                       137                      
WT13-B25-53              0.00025860459987553695   19                       69                       
WT27-B27-452             0.00025846299578995835   18                       142                      
WT17-B22-102             0.00025791291093734607   1                        19                       
WT27-B04-182             0.000257033381845248     17                       152                      
WT11-B06-41              0.00025595356817394155   1                        95                       
WT07-B17-219             0.00025215427010080174   4                        79                       
WT04-B38-150             0.0002518618238972036    6                        229                      
WT18-B39-107             0.0002484174316894165    6                        124                      
WT18-B24-215             0.0002471655262118283    9                        77                       
WT14-B20-107             0.0002468140233617388    4                        94                       
WT13-B16-438             0.00024626980336778026   10                       198                      
WT27-B04-181             0.00024388941495641706   3                        208                      
WT13-B16-461             0.00024375645389465396   2                        199                      
WT07-B40-402             0.00024329998281124497   1                        52                       
WT12-B24-131             0.00024296106278548052   16                       84                       
WT24-B12-246             0.00024278450273213095   51                       54                       
WT24-B28-186             0.00024241693224552724   34                       154                      
WT24-B13-88              0.00024162008359091344   51                       52                       
WT27-B29-141             0.0002414650868947537    0                        1                        
WT20-B02-231             0.00024050077085425702   11                       107                      
WT18-B38-24              0.00023994543445063308   13                       1                        
WT19-B34-114             0.0002361507841652635    14                       78                       
WT07-B22-386             0.00023484304473283502   8                        114                      
WT12-B12-11              0.00023394705543967778   80                       73                       
WT12-B40-254             0.0002326503261404275    17                       334                      
WT07-B14-21              0.00023217272354533118   49                       49                       
WT07-B02-55              0.00023206992807447483   5                        266                      
WT06-B14-159             0.00023205533748579623   1                        27                       
WT02-B15-103             0.00023160991198774425   45                       110                      
WT22-B07-427             0.00023150670428769048   140                      108                      
WT14-B02-106             0.00023122872555869032   10                       89                       
WT04-B35-13              0.00023116604631488825   1                        130                      
WT27-B25-361             0.0002307454159203435    214                      118                      
WT22-B07-425             0.00023055631038312763   2                        144                      
WT08-B09-307             0.0002302845428106566    6                        240                      
WT14-B12-412             0.00022795267424322225   1                        10                       
WT24-B18-75              0.00022724970259112726   7                        91                       
WT05-B15-106             0.00022461562575676935   37                       39                       
WT12-B17-270             0.00022431946747824015   8                        183                      
WT08-B09-311             0.00022389133561890207   187                      232                      
WT13-B31-359             0.00022077794321879727   53                       53                       
WT11-B06-47              0.00022057923868817384   7                        3                        
WT10-B14-91              0.00021899802278811426   1                        88                       
WT01-B01-261             0.0002172232952822587    2                        76                       
WT24-B28-188             0.0002164866421726891    5                        166                      
WT01-B01-252             0.00021617476761205825   9                        76                       
WT02-B28-217             0.0002156620413516003    9                        162                      
WT02-B28-218             0.0002156620413516003    4                        162                      
WT02-B28-219             0.0002156620413516003    6                        162                      
WT02-B28-220             0.0002156620413516003    4                        162                      
WT23-B30-103             0.00021531908945716306   7                        58                       
WT02-B28-264             0.0002150787921555699    9                        163                      
WT02-B28-265             0.0002150787921555699    4                        163                      
WT02-B28-266             0.0002150787921555699    6                        163                      
WT02-B28-267             0.0002150787921555699    4                        163                      
WT23-B30-98              0.00021391896227856237   8                        155                      
WT25-B13-353             0.00021251302218241433   1                        40                       
WT12-B30-421             0.00021250066223786054   12                       109                      
WT26-B22-334             0.00021191945940265709   7                        11                       
WT15-B34-80              0.00021166400954390565   4                        133                      
WT08-B01-1               0.0002105062500378524    1                        3                        
WT14-B25-212             0.0002097351324813341    44                       45                       
WT15-B37-80              0.00020970337525624716   44                       45                       
WT15-B34-82              0.00020918809767329764   4                        132                      
WT24-B23-99              0.00020907037127294124   44                       46                       
WT24-B28-187             0.0002088984467782234    4                        166                      
WT24-B28-189             0.0002088984467782234    4                        166                      
WT10-B35-224             0.0002084186424566882    23                       102                      
WT15-B34-81              0.00020822134691779256   6                        133                      
WT24-B04-120             0.00020632911812027392   7                        86                       
WT18-B36-78              0.00020557907155029561   15                       116                      
WT13-B06-280             0.0002052010332355261    2                        273                      
WT24-B28-190             0.00020496082747574406   4                        155                      
WT23-B30-105             0.00020470556088238813   64                       379                      
WT04-B18-119             0.0002045653850401452    1                        35                       
WT10-B14-735             0.00020418835557450528   0                        2                        
WT08-B31-104             0.0002037773379374316    42                       42                       
WT15-B34-53              0.00020362595375754015   14                       134                      
WT12-B17-255             0.00020254599766840445   23                       194                      
WT23-B18-107             0.0002025000355413316    2                        136                      
WT10-B36-88              0.00020227633559791167   3                        102                      
WT27-B21-1               0.00020115074493324393   44                       45                       
WT25-B13-334             0.0002005656762756726    64                       64                       
WT02-B03-137             0.00020056108838953918   17                       138                      
WT23-B20-268             0.0002004955391352445    22                       18                       
WT27-B25-360             0.00019995134169039126   59                       33                       
WT08-B09-310             0.00019956677183376179   0                        233                      
WT17-B12-3               0.0001992800823013419    41                       42                       
WT25-B01-250             0.00019856901482155154   41                       42                       
WT07-B02-9               0.00019627443902749445   18                       254                      
WT27-B07-331             0.00019542799459910083   19                       75                       
WT24-B02-91              0.0001948753190140279    58                       57                       
WT22-B07-426             0.0001928591201610871    36                       38                       
WT14-B13-292             0.00019107425074567388   37                       114                      
WT12-B24-142             0.00019103362527359702   40                       41                       
WT04-B29-34              0.00018918446588852937   15                       98                       
WT24-B09-109             0.00018886406919722953   8                        96                       
WT16-B27-59              0.0001876829566198648    7                        109                      
WT24-B02-98              0.00018692376868601805   56                       55                       
WT03-B24-155             0.00018628644794655265   8                        79                       
WT12-B40-13              0.00018557252910119556   11                       209                      
WT07-B40-281             0.00018524776410696307   7                        45                       
WT25-B13-354             0.0001849459688164773    1                        35                       
WT07-B23-109             0.00018420767100414025   4                        38                       
WT10-B33-180             0.00018201585125303768   7                        75                       
WT03-B23-47              0.0001819798197496229    18                       65                       
WT22-B11-415             0.00018183008507103413   11                       67                       
WT27-B19-54              0.00018124850076218731   5                        138                      
WT23-B33-14              0.0001805683881137627    7                        90                       
WT24-B26-3               0.0001804974609093562    3                        173                      
WT21-B37-71              0.00018022476414164242   23                       560                      
WT23-B14-50              0.0001799079936128727    12                       185                      
WT23-B14-51              0.0001799079936128727    7                        185                      
WT23-B14-53              0.0001799079936128727    8                        185                      
WT23-B14-55              0.0001799079936128727    43                       185                      
WT23-B14-56              0.0001799079936128727    7                        185                      
WT25-B17-39              0.00017914908795723349   40                       126                      
WT18-B26-434             0.00017885633053624334   62                       64                       
WT27-B34-206             0.00017790713684647414   0                        192                      
WT02-B28-270             0.00017695199802230036   6                        126                      
WT02-B28-271             0.00017695199802230036   5                        126                      
WT02-B28-272             0.00017695199802230036   6                        126                      
WT02-B28-273             0.00017695199802230036   4                        126                      
WT23-B14-52              0.00017684959429579216   8                        183                      
WT23-B14-54              0.00017684959429579216   11                       183                      
WT02-B28-216             0.00017664677146280263   6                        125                      
WT02-B28-224             0.00017664677146280263   5                        125                      
WT02-B28-225             0.00017664677146280263   6                        125                      
WT02-B28-226             0.00017664677146280263   4                        125                      
WT07-B14-22              0.00017664394613415012   37                       37                       
WT10-B17-351             0.00017594242653992998   34                       35                       
WT07-B17-239             0.00017586077854783404   12                       37                       
WT13-B27-94              0.00017584514992672      61                       69                       
WT27-B38-273             0.00017545760529649837   10                       123                      
WT27-B38-275             0.00017545760529649837   5                        123                      
WT17-B34-498             0.00017444404526860017   21                       356                      
WT17-B34-499             0.00017444404526860017   55                       356                      
WT17-B34-500             0.00017444404526860017   52                       356                      
WT17-B34-501             0.00017444404526860017   14                       356                      
WT17-B34-502             0.00017444404526860017   17                       356                      
WT17-B34-503             0.00017444404526860017   35                       356                      
WT17-B34-504             0.00017444404526860017   21                       356                      
WT17-B34-505             0.00017444404526860017   38                       356                      
WT17-B34-506             0.00017444404526860017   22                       356                      
WT17-B34-507             0.00017444404526860017   16                       356                      
WT17-B34-508             0.00017444404526860017   13                       356                      
WT17-B34-509             0.00017444404526860017   13                       356                      
WT22-B14-452             0.00017436512975408703   110                      106                      
WT24-B08-146             0.00017427609725253552   13                       159                      
WT23-B14-244             0.00017374382428013522   16                       49                       
WT02-B21-184             0.00017255551608384937   10                       67                       
WT23-B29-120             0.00017250395001848712   20                       68                       
WT12-B40-12              0.00017226142413243053   11                       208                      
WT12-B40-9               0.0001722614241324305    11                       208                      
WT13-B15-101             0.0001720498494313722    9                        106                      
WT07-B02-32              0.00017201527356084276   162                      165                      
WT23-B28-562             0.00017175827055756313   20                       68                       
WT27-B20-291             0.00017157639380070564   9                        36                       
WT02-B23-167             0.00017140724421907513   32                       34                       
WT12-B40-14              0.00017103459413824766   10                       208                      
WT12-B40-3               0.00016955866159768987   9                        208                      
WT01-B12-77              0.0001694884693650781    59                       70                       
WT27-B20-174             0.0001694844173148728    9                        107                      
WT07-B40-166             0.00016864800162401814   4                        75                       
WT07-B40-167             0.00016864800162401814   4                        75                       
WT07-B40-168             0.00016864800162401814   4                        75                       
WT13-B39-334             0.0001683643003513525    146                      145                      
WT13-B39-315             0.00016833973075772147   146                      145                      
WT12-B40-11              0.00016774918496610254   8                        208                      
WT13-B17-278             0.00016759054470636295   10                       219                      
WT18-B38-182             0.0001670746015423512    8                        81                       
WT11-B04-34              0.0001661736482820271    33                       36                       
WT13-B21-124             0.00016594904294817502   8                        65                       
WT07-B19-144             0.0001656366636233889    37                       38                       
WT14-B34-172             0.0001655720311832139    19                       43                       
WT12-B39-315             0.00016553835422928123   8                        97                       
WT10-B40-320             0.00016519584107383588   2                        29                       
WT12-B06-139             0.00016505486831279136   1                        19                       
WT02-B23-166             0.00016354869453180082   13                       85                       
WT27-B21-3               0.00016252374219442325   34                       35                       
WT25-B04-649             0.00016248193143409312   25                       218                      
WT25-B04-650             0.00016205498883934964   7                        217                      
WT25-B05-12              0.00016135152083932472   6                        217                      
WT25-B05-34              0.00016135152083932472   0                        217                      
WT27-B18-381             0.00016062755736079385   11                       90                       
WT08-B33-284             0.00016023260798121372   14                       166                      
WT08-B24-243             0.00016004210754286285   9                        72                       
WT23-B28-180             0.0001599655369948662    6                        45                       
WT06-B38-10              0.0001598522973564709    11                       50                       
WT13-B34-256             0.000159433232602774     21                       50                       
WT12-B40-10              0.00015887275091313398   14                       168                      
WT18-B18-177             0.00015878286728969842   25                       98                       
WT08-B07-159             0.00015868637302607848   11                       92                       
WT24-B11-274             0.0001581758051345993    196                      197                      
WT18-B39-137             0.00015752279921978147   43                       60                       
WT24-B18-182             0.00015748919580288286   3                        7                        
WT24-B08-147             0.00015629620479295223   11                       146                      
WT23-B30-89              0.00015610872777051653   367                      367                      
WT02-B16-103             0.00015585570067688464   1                        19                       
WT24-B11-54              0.00015569461124719796   8                        209                      
WT25-B13-371             0.0001552058437083342    1                        18                       
WT23-B32-191             0.00015504653458504755   17                       21                       
WT27-B04-169             0.00015499442342326326   54                       141                      
WT24-B40-140             0.0001549928307960829    8                        81                       
WT12-B40-241             0.00015489662393467434   0                        342                      
WT14-B02-403             0.00015429478276789003   32                       33                       
WT24-B17-197             0.0001542241273252275    0                        133                      
WT05-B11-312             0.00015418797376758904   36                       48                       
WT19-B37-2               0.00015367504932685234   100                      110                      
WT19-B36-96              0.00015353830397743347   9                        11                       
WT23-B31-215             0.000153323412045559     3                        209                      
WT14-B15-37              0.00015331845304309257   10                       96                       
WT04-B27-721             0.0001533173648216652    27                       176                      
WT02-B16-123             0.000152865913820638     3                        106                      
WT24-B11-231             0.0001528487740111962    7                        198                      
WT09-B34-124             0.00015281651567590474   4                        7                        
WT19-B37-1               0.00015266406469379977   56                       110                      
WT12-B40-17              0.00015204789084967554   8                        201                      
WT10-B36-90              0.00015194214875103058   2                        98                       
WT20-B39-186             0.0001511845687761832    33                       49                       
WT09-B28-83              0.0001510044552978137    24                       146                      
WT22-B09-181             0.0001506911724793375    9                        275                      
WT01-B06-32              0.00015050856330862486   9                        52                       
WT10-B35-237             0.00015013318777223916   14                       97                       
WT07-B40-97              0.0001496480446908066    46                       52                       
WT23-B29-123             0.00014947144822564622   12                       47                       
WT23-B28-576             0.00014894867290966474   12                       47                       
WT11-B15-220             0.00014835611014640956   41                       71                       
WT08-B23-282             0.00014811034984799857   30                       30                       
WT10-B38-105             0.00014773964263102996   15                       117                      
WT27-B38-271             0.00014765920303578452   5                        82                       
WT27-B38-272             0.00014765920303578452   10                       82                       
WT11-B02-151             0.00014754711145007122   28                       126                      
WT27-B38-274             0.00014735056983178704   5                        81                       
WT23-B36-273             0.0001462375649207508    2                        26                       
WT10-B38-108             0.00014618770099917628   11                       116                      
WT10-B38-109             0.00014618770099917628   5                        116                      
WT10-B38-110             0.00014618770099917628   5                        116                      
WT21-B35-163             0.00014610082302439427   141                      8                        
WT09-B34-220             0.00014609171131798427   4                        91                       
WT09-B34-229             0.00014609171131798427   3                        91                       
WT04-B22-262             0.00014563225391173282   62                       65                       
WT18-B31-223             0.00014550205167423885   29                       32                       
WT10-B16-675             0.00014542767161734616   1                        124                      
WT09-B33-104             0.00014537733575769647   57                       61                       
WT16-B27-185             0.00014529697826312464   0                        99                       
WT18-B14-70              0.00014499064071156148   37                       43                       
WT06-B31-160             0.00014471233457830825   39                       126                      
WT16-B26-139             0.00014404530460053922   29                       30                       
WT12-B24-140             0.00014372463505111211   26                       27                       
WT24-B01-154             0.0001435194192186133    15                       132                      
WT24-B01-155             0.0001435194192186133    14                       132                      
WT24-B01-156             0.0001435194192186133    8                        132                      
WT24-B08-157             0.00014345589711887492   10                       147                      
WT09-B33-103             0.00014327751901808782   58                       60                       
WT02-B03-142             0.00014292865635764896   1                        5                        
WT11-B16-268             0.0001429122353231246    18                       104                      
WT11-B16-269             0.0001429122353231246    13                       104                      
WT11-B16-270             0.0001429122353231246    11                       104                      
WT19-B37-223             0.0001427218460489034    10                       109                      
WT27-B19-473             0.00014229350009840197   9                        63                       
WT14-B15-270             0.00014218369330646686   39                       37                       
WT09-B34-230             0.00014109654387400665   22                       90                       
WT04-B38-162             0.0001406798232610685    38                       78                       
WT12-B31-228             0.00014062034902258467   7                        114                      
WT12-B31-239             0.00014062034902258467   7                        114                      
WT12-B31-240             0.00014062034902258467   7                        114                      
WT12-B31-243             0.00014062034902258467   7                        114                      
WT24-B08-158             0.0001404690827512038    10                       138                      
WT12-B31-225             0.00014036418346573859   7                        113                      
WT12-B31-241             0.00014015071216836683   7                        112                      
WT27-B19-320             0.0001400490387243091    64                       143                      
WT12-B31-242             0.00013987753832455917   7                        111                      
WT13-B18-188             0.00013958114701204374   62                       177                      
WT20-B40-44              0.0001395060036751669    1                        17                       
WT10-B32-84              0.00013947236003966168   1                        55                       
WT22-B38-424             0.00013866696843514462   1                        76                       
WT10-B31-580             0.00013811081379177032   13                       101                      
WT10-B31-581             0.00013811081379177032   5                        101                      
WT10-B31-582             0.00013811081379177032   6                        101                      
WT13-B37-273             0.00013803361502137738   12                       65                       
WT27-B08-132             0.00013774327291790628   11                       95                       
WT27-B27-28              0.00013714298950379992   1                        45                       
WT07-B22-391             0.00013677132499050426   20                       29                       
WT22-B09-35              0.00013639032678773648   4                        25                       
WT22-B10-164             0.00013500146104630944   7                        273                      
WT25-B13-303             0.00013483105201566778   1                        28                       
WT16-B25-152             0.00013460045510439397   8                        55                       
WT03-B21-27              0.0001343420268443625    12                       31                       
WT03-B17-89              0.00013428213404691406   19                       55                       
WT21-B36-136             0.00013414571983925972   12                       176                      
WT08-B01-172             0.00013384732572452765   4                        74                       
WT25-B13-352             0.00013371297296483578   1                        29                       
WT25-B13-355             0.00013371297296483578   1                        29                       
WT07-B02-14              0.00013349354636224035   88                       96                       
WT04-B18-199             0.0001333444800319015    1                        5                        
WT25-B11-82              0.00013310239796713804   5                        110                      
WT25-B11-83              0.00013310239796713804   5                        110                      
WT25-B11-84              0.00013310239796713804   11                       110                      
WT25-B11-85              0.00013310239796713804   10                       110                      
WT25-B11-86              0.00013310239796713804   16                       110                      
WT21-B36-137             0.0001328648920550293    13                       175                      
WT21-B36-138             0.0001328648920550293    12                       175                      
WT21-B36-139             0.0001328648920550293    15                       175                      
WT21-B36-140             0.0001328648920550293    15                       175                      
WT21-B36-141             0.0001328648920550293    11                       175                      
WT21-B36-142             0.0001328648920550293    14                       175                      
WT21-B36-143             0.0001328648920550293    8                        175                      
WT08-B26-265             0.00013251874658806243   1                        32                       
WT04-B14-128             0.00013241929671002896   11                       35                       
WT18-B14-67              0.00013239922903233396   52                       49                       
WT14-B03-224             0.0001322075674147945    29                       30                       
WT08-B01-106             0.00013207372100313165   11                       61                       
WT22-B13-79              0.00013170874228420867   34                       272                      
WT27-B08-97              0.00013167469575981166   8                        93                       
WT13-B14-28              0.0001310126035889365    20                       38                       
WT24-B02-94              0.0001309629800501555    44                       43                       
WT13-B39-29              0.00013082843962579474   5                        45                       
WT07-B40-170             0.00013069100005711414   3                        71                       
WT14-B02-245             0.00013055770853118674   23                       38                       
WT09-B37-199             0.00013054697645001112   25                       41                       
WT10-B38-127             0.00013049108203404592   9                        114                      
WT25-B30-216             0.00013027222925966777   31                       30                       
WT02-B08-193             0.00013015971261415461   23                       50                       
WT25-B05-10              0.00012990527482016327   5                        77                       
